#f_clk: 8192
iteration,n_ticks
1,168248
2,168216
3,168176
4,168200
5,168200
6,168176
7,168168
8,168160
9,168136
10,168136
11,168168
12,168120
13,168136
14,168136
15,168152
16,168120
17,168120
18,168136
19,168112
20,168136
21,168128
22,168136
23,168088
24,168136
25,168120
26,168104
27,168104
28,168120
29,168088
30,168104
31,168088
32,168104
33,168104
34,168088
35,168104
36,168088
37,168088
38,168088
39,168088
40,168088
41,168096
42,168072
43,168088
44,168080
45,168072
46,168072
47,168072
48,168072
49,168072
50,168072
51,168056
52,168072
53,168072
54,168056
55,168072
56,168056
57,168048
58,168072
59,168056
60,168072
61,168072
62,168040
63,168040
64,168056
65,168048
66,168040
67,168080
68,168024
69,168040
70,168040
71,168056
72,168024
73,168048
74,168048
75,168024
76,168040
77,168024
78,168040
79,168056
80,168048
81,168040
82,168040
83,168040
84,168040
85,168040
86,168040
87,168024
77,168024
78,168040
79,168056
80,168048
81,168040
82,168040
83,168040
84,168040
85,168040
86,168040
87,168024
88,168024
89,168024
90,168032
91,168024
92,168008
93,168024
94,168040
95,168040
96,168008
97,168008
98,168008
99,168040
100,168024
101,168008
102,168024
103,168008
104,168024
105,168008
106,168008
107,168040
108,168008
109,168016
110,167992
111,168008
112,168008
113,168008
114,168008
115,168008
116,168008
117,167992
118,167992
119,167992
120,168008
121,167976
122,167992
123,167976
124,167992
125,168008
126,167992
127,167992
128,167976
129,167992
130,167992
131,167976
132,167976
133,168008
134,167984
135,167992
136,167976
137,167976
138,167984
139,167992
140,167984
141,167976
142,167976
143,167976
144,167976
145,167992
146,167976
147,167984
148,167976
149,167960
150,167976
151,167976
152,167976
153,167976
154,167960
155,167960
156,167976
157,167976
158,167960
159,167976
160,167976
161,167976
162,167960
163,167976
164,167976
165,167976
166,167976
167,167976
168,167976
169,167976
170,167976
171,167960
172,167976
173,167976
174,167976
175,167976
176,167976
177,167976
178,167960
179,167976
180,167976
181,167976
182,167976
183,167960
184,167976
185,167976
186,167976
187,167976
188,167960
189,167960
189,167960
190,167976
191,167976
192,167960
193,167960
194,167976
195,167976
196,167960
197,167976
198,167960
199,167976
200,167976
201,167960
202,167976
203,167960
204,167960
205,167976
206,167976
207,167960
208,167960
209,167960
210,167960
211,167976
212,167960
213,167976
214,167960
215,167960
216,167976
217,167960
218,167960
219,167976
220,167960
221,167960
222,167960
223,167960
224,167960
225,167976
226,167960
227,167976
228,167976
229,167960
230,167976
231,167976
232,167976
233,167976
234,167960
235,167976
236,167960
237,167960
238,167960
239,167976
240,167960
